state,total_offenses
Alabama,350
Alaska,74
Arizona,1773
Arkansas,178
California,1309
Colorado,6703
Connecticut,907
Delaware,398
District of Columbia,977
Florida,949
Georgia,1403
Hawaii,532
Idaho,359
Illinois,542
Indiana,514
Iowa,230
Kansas,0
Kentucky,1765
Louisiana,1
Maine,44
Maryland,1188
Massachusetts,1000
Michigan,2367
Minnesota,912
Mississippi,95
Missouri,788
Montana,39
Nebraska,2340
Nevada,679
New Hampshire,492
New Jersey,1604
New Mexico,136
New York,437
North Carolina,2064
North Dakota,348
Ohio,309
Oklahoma,1481
Oregon,1614
Pennsylvania,1132
Rhode Island,994
South Carolina,1144
South Dakota,34
Tennessee,1482
Texas,5997
Utah,217
Vermont,80
Virginia,2945
Washington,4543
West Virginia,24
Wisconsin,865
Wyoming,107
